rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,log_loss,target_definition,description,fold_id,train_end_year,validation_year,test_year,seed,split,calibration_method,model_name,raw_feature_count,model_feature_count,fit_seconds,removed_formula_aligned_features
122616,13562,0.11060546747569648,0.5817344001639302,28447,0.23200071768774058,0.26955390726614403,0.5654033328417638,0.3650646290080697,0.32127125469946244,0.7877497142395145,0.589242053789731,0.41999673788941444,0.3554069482955472,0.18013776226211412,0.5214153496584011,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,2026,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,25.779765605926514,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.17552917263528062,27495,0.22000576119832926,0.2720858337879615,0.5454611738971928,0.36306721669497694,0.29835602802272637,0.7823578902153854,0.492,0.394783165306449,0.3434149463914226,0.08693848233296349,0.2935423171047831,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,2026,validation,platt,lightgbm_no_8w_formula_features,57,69,25.779765605926514,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.17552917263528062,28447,0.23200071768774058,0.26955390726614403,0.5654033328417638,0.3650646290080697,0.32127125469946244,0.7877497142395145,0.589242053789731,0.41999673788941444,0.3554069482955472,0.08666940043415033,0.2921396539472237,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,2026,test,platt,lightgbm_no_8w_formula_features,57,69,25.779765605926514,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5960116384262429,24995,0.20000160033286923,0.2806561312262453,0.5114837768866205,0.3624386463446138,0.2946989160387646,0.7817291277180289,0.4904,0.39110257641222596,0.3404544727156345,0.1751769121516669,0.5100272518125152,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,3407,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,21.16854238510132,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5960116384262429,26190,0.2135936582501468,0.27659411989308896,0.5341395074472791,0.3644596498289394,0.3192656316145187,0.7876792979584747,0.5819070904645477,0.42064916000652425,0.35557005382482465,0.1797540791349771,0.5203864508214481,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,3407,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,21.16854238510132,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.1877551247485313,24995,0.20000160033286923,0.2806561312262453,0.5114837768866205,0.3624386463446138,0.2946989160387646,0.7817291277180289,0.4904,0.39110257641222596,0.3404544727156345,0.0870706641100158,0.29390051029468134,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,3407,validation,platt,lightgbm_no_8w_formula_features,57,69,21.16854238510132,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.1877551247485313,26190,0.2135936582501468,0.27659411989308896,0.5341395074472791,0.3644596498289394,0.3192656316145187,0.7876792979584747,0.5819070904645477,0.42064916000652425,0.35557005382482465,0.08668747418238075,0.29222040685103484,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,3407,test,platt,lightgbm_no_8w_formula_features,57,69,21.16854238510132,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5697678411372704,26245,0.21000368076559925,0.2741474566584111,0.5246080933284725,0.3601101101101101,0.2965824179804168,0.7806300185943577,0.5048,0.39286285805728915,0.3392542806849096,0.16841331919669725,0.4947916774222729,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,7777,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,25.43943977355957,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5697678411372704,26962,0.2198897370653096,0.27319931755804466,0.5431352307919186,0.36353765669726584,0.31579836507806325,0.785692941182061,0.5778321108394459,0.41461425542325886,0.34986136030011417,0.17153906425197027,0.501955601626265,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,7777,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,25.43943977355957,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.17867129058813025,26245,0.21000368076559925,0.2741474566584111,0.5246080933284725,0.3601101101101101,0.2965824179804168,0.7806300185943577,0.5048,0.39286285805728915,0.3392542806849096,0.08712053289278489,0.294361058019025,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,7777,validation,platt,lightgbm_no_8w_formula_features,57,69,25.43943977355957,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.17867129058813025,26962,0.2198897370653096,0.27319931755804466,0.5431352307919186,0.36353765669726584,0.31579836507806325,0.785692941182061,0.5778321108394459,0.41461425542325886,0.34986136030011417,0.086917948907474,0.2931523542666385,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,7777,test,platt,lightgbm_no_8w_formula_features,57,69,25.43943977355957,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
