complaint_category,category_rank,feature,feature_group,mean_abs_shap,rows
sanitation,5,week_of_year,calendar,0.12356612053587857,2778
sanitation,6,rolling_4w_mean,historical_temporal,0.11178662404386208,2778
sanitation,7,rolling_12w_std,historical_temporal,0.08490754587583967,2778
sanitation,8,complaint_count,current_demand,0.07403277841816847,2778
sanitation,9,lag_1w_count,historical_temporal,0.07204916353583729,2778
sanitation,10,history_weeks_available,historical_temporal,0.07027011381187064,2778
sanitation,11,lag_12w_count,historical_temporal,0.05303050350073593,2778
sanitation,12,rolling_12w_mean,historical_temporal,0.05056745398734617,2778
sanitation,13,poi_semantic_entropy,osm_poi_context,0.046335307193434025,2778
sanitation,14,lag_8w_count,historical_temporal,0.04267337265459115,2778
sanitation,15,rolling_8w_mean,historical_temporal,0.0425372568808211,2778
sanitation,16,pluto_lot_count,pluto_built_environment,0.04149601613779879,2778
sanitation,17,poi_named_count,osm_poi_context,0.040183573339550284,2778
sanitation,18,lag_2w_count,historical_temporal,0.0375963300880915,2778
sanitation,19,pluto_total_buildings,pluto_built_environment,0.03592166765276819,2778
sanitation,20,ratio_to_12w_mean,historical_temporal,0.03422555280790357,2778
sanitation,21,diff_4w_count,historical_temporal,0.03178210115540149,2778
sanitation,22,month,calendar,0.031054664776502903,2778
sanitation,23,weather_tmin_mean,weather,0.029383552289794564,2778
sanitation,24,pluto_parcel_density_per_km2,pluto_built_environment,0.02526037262394336,2778
sanitation,25,pluto_total_residential_area,pluto_built_environment,0.025114153537025334,2778
sanitation,26,rolling_4w_sum,historical_temporal,0.02113671804949171,2778
sanitation,27,rolling_4w_std,historical_temporal,0.020544543715393354,2778
sanitation,28,weather_awnd_mean,weather,0.019120982556429585,2778
sanitation,29,weather_prcp_max,weather,0.01826846452763745,2778
sanitation,30,pct_change_1w,historical_temporal,0.018186564608786062,2778
water_sewer,1,rolling_8w_std,historical_temporal,0.7393928143953371,2777
water_sewer,2,ratio_to_8w_mean,historical_temporal,0.4304367357618249,2777
water_sewer,3,complaint_category,semantic_category,0.20971960755652136,2777
water_sewer,4,lag_52w_count,historical_temporal,0.12655080919093448,2777
water_sewer,5,week_of_year,calendar,0.12185377884680026,2777
