file,output,status,chunksize,chunk_count,total_raw_rows,total_after_clean,total_removed_bad_coord,total_matched_nta,total_unmatched_nta,match_rate_after_clean,elapsed_seconds
data\raw\nyc_311\nyc_311_2016_03_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_03_part003_with_nta.csv.gz,done,100000,1,29123,29123,0,29118,5,0.9998283143906878,0.3867316246032715
data\raw\nyc_311\nyc_311_2016_04_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_04_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.6671929359436035
data\raw\nyc_311\nyc_311_2016_04_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_04_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49989,11,0.99978,0.6477255821228027
data\raw\nyc_311\nyc_311_2016_04_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_04_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6547372341156006
data\raw\nyc_311\nyc_311_2016_04_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_04_part003_with_nta.csv.gz,done,100000,1,20032,20032,0,20032,0,1.0,0.2675611972808838
data\raw\nyc_311\nyc_311_2016_05_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_05_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.664036750793457
data\raw\nyc_311\nyc_311_2016_05_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_05_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49989,11,0.99978,0.6688621044158936
data\raw\nyc_311\nyc_311_2016_05_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_05_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.696657657623291
data\raw\nyc_311\nyc_311_2016_05_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_05_part003_with_nta.csv.gz,done,100000,1,35682,35682,0,35667,15,0.9995796199764587,0.47358202934265137
data\raw\nyc_311\nyc_311_2016_06_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_06_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6622231006622314
data\raw\nyc_311\nyc_311_2016_06_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_06_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6963541507720947
data\raw\nyc_311\nyc_311_2016_06_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_06_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.7439959049224854
data\raw\nyc_311\nyc_311_2016_06_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_06_part003_with_nta.csv.gz,done,100000,1,38823,38823,0,38812,11,0.9997166628029777,0.6386783123016357
data\raw\nyc_311\nyc_311_2016_07_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_07_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.7090194225311279
data\raw\nyc_311\nyc_311_2016_07_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_07_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49985,15,0.9997,0.7027027606964111
data\raw\nyc_311\nyc_311_2016_07_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_07_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49980,20,0.9996,0.6887166500091553
data\raw\nyc_311\nyc_311_2016_07_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_07_part003_with_nta.csv.gz,done,100000,1,35885,35885,0,35873,12,0.9996655984394593,0.4813656806945801
data\raw\nyc_311\nyc_311_2016_08_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_08_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49987,13,0.99974,0.6590604782104492
data\raw\nyc_311\nyc_311_2016_08_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_08_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6698510646820068
data\raw\nyc_311\nyc_311_2016_08_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_08_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49985,15,0.9997,0.6569902896881104
data\raw\nyc_311\nyc_311_2016_08_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_08_part003_with_nta.csv.gz,done,100000,1,34945,34945,0,34936,9,0.9997424524252396,0.45702457427978516
data\raw\nyc_311\nyc_311_2016_09_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_09_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49996,4,0.99992,0.700115442276001
data\raw\nyc_311\nyc_311_2016_09_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_09_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.657982349395752
data\raw\nyc_311\nyc_311_2016_09_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_09_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6555583477020264
data\raw\nyc_311\nyc_311_2016_09_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_09_part003_with_nta.csv.gz,done,100000,1,22890,22890,0,22883,7,0.9996941896024465,0.31825733184814453
data\raw\nyc_311\nyc_311_2016_10_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_10_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.6516401767730713
data\raw\nyc_311\nyc_311_2016_10_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_10_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6552619934082031
data\raw\nyc_311\nyc_311_2016_10_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_10_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.6534032821655273
data\raw\nyc_311\nyc_311_2016_10_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_10_part003_with_nta.csv.gz,done,100000,1,34438,34438,0,34432,6,0.9998257738544631,0.4509866237640381
data\raw\nyc_311\nyc_311_2016_11_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_11_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6576550006866455
data\raw\nyc_311\nyc_311_2016_11_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_11_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49994,6,0.99988,0.6554350852966309
data\raw\nyc_311\nyc_311_2016_11_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_11_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49998,2,0.99996,0.6539211273193359
data\raw\nyc_311\nyc_311_2016_11_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_11_part003_with_nta.csv.gz,done,100000,1,25018,25018,0,25014,4,0.9998401151171157,0.34477686882019043
data\raw\nyc_311\nyc_311_2016_12_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_12_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.6436359882354736
data\raw\nyc_311\nyc_311_2016_12_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_12_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.6575934886932373
data\raw\nyc_311\nyc_311_2016_12_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_12_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49994,6,0.99988,0.7170767784118652
data\raw\nyc_311\nyc_311_2016_12_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_12_part003_with_nta.csv.gz,done,100000,1,39315,39315,0,39310,5,0.9998728220780873,0.5636801719665527
data\raw\nyc_311\nyc_311_2017_01_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_01_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6626913547515869
data\raw\nyc_311\nyc_311_2017_01_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_01_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6600439548492432
data\raw\nyc_311\nyc_311_2017_01_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_01_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49987,13,0.99974,0.6596992015838623
data\raw\nyc_311\nyc_311_2017_01_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_01_part003_with_nta.csv.gz,done,100000,1,40409,40409,0,40400,9,0.9997772773392066,0.5664489269256592
data\raw\nyc_311\nyc_311_2017_02_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_02_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.718411922454834
data\raw\nyc_311\nyc_311_2017_02_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_02_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6533124446868896
data\raw\nyc_311\nyc_311_2017_02_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_02_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49988,12,0.99976,0.662034273147583
data\raw\nyc_311\nyc_311_2017_02_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_02_part003_with_nta.csv.gz,done,100000,1,14597,14597,0,14596,1,0.9999314927724875,0.2023162841796875
data\raw\nyc_311\nyc_311_2017_03_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_03_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.6492583751678467
data\raw\nyc_311\nyc_311_2017_03_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_03_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.7193207740783691
data\raw\nyc_311\nyc_311_2017_03_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_03_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49988,12,0.99976,0.6523945331573486
data\raw\nyc_311\nyc_311_2017_03_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_03_part003_with_nta.csv.gz,done,100000,1,39102,39102,0,39095,7,0.9998209810239885,0.5370140075683594
data\raw\nyc_311\nyc_311_2017_04_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_04_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6553728580474854
data\raw\nyc_311\nyc_311_2017_04_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_04_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49985,15,0.9997,0.6461913585662842
data\raw\nyc_311\nyc_311_2017_04_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_04_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6550276279449463
data\raw\nyc_311\nyc_311_2017_04_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_04_part003_with_nta.csv.gz,done,100000,1,30008,30008,0,30002,6,0.9998000533191149,0.4104578495025635
data\raw\nyc_311\nyc_311_2017_05_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_05_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49987,13,0.99974,0.6579015254974365
data\raw\nyc_311\nyc_311_2017_05_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_05_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6551260948181152
data\raw\nyc_311\nyc_311_2017_05_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_05_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49985,15,0.9997,0.6609082221984863
data\raw\nyc_311\nyc_311_2017_05_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_05_part003_with_nta.csv.gz,done,100000,1,42911,42911,0,42908,3,0.9999300878562606,0.594505786895752
data\raw\nyc_311\nyc_311_2017_06_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_06_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6685736179351807
