column,missing_count,missing_share,dtype_example,feature_group
weather_merge_key_present,0,0.0,int8,weather
weather_min_days_ok_flag,0,0.0,int8,weather
weather_missing_flag,0,0.0,int8,weather
weather_month,0,0.0,int64,weather
weather_prcp_max,0,0.0,float64,weather
weather_prcp_mean,0,0.0,float64,weather
weather_prcp_station_max,0,0.0,float64,weather
weather_prcp_sum,0,0.0,float64,weather
weather_quarter,0,0.0,int64,weather
weather_snow_max,0,0.0,float64,weather
weather_snow_mean,0,0.0,float64,weather
weather_snow_sum,0,0.0,float64,weather
weather_snwd_max,0,0.0,float64,weather
weather_snwd_mean,0,0.0,float64,weather
weather_source_rows,0,0.0,int64,weather
weather_tavg_mean,0,0.0,float64,weather
weather_tmax_max,0,0.0,float64,weather
weather_tmax_mean,0,0.0,float64,weather
weather_tmax_min,0,0.0,float64,weather
weather_tmax_station_max,0,0.0,float64,weather
weather_tmin_max,0,0.0,float64,weather
weather_tmin_mean,0,0.0,float64,weather
weather_tmin_min,0,0.0,float64,weather
weather_week_end,0,0.0,str,weather
weather_week_of_year,0,0.0,int64,weather
weather_year,0,0.0,int64,weather
week_end,0,0.0,str,id_metadata
week_of_year,0,0.0,int64,calendar_period
week_start,0,0.0,datetime64[us],id_metadata
year,0,0.0,int64,calendar_period
