nta2020,nta_area_km2_osm,nta_area_km2_pluto,area_abs_diff_km2
QN0891,1.978252575206338,1.978252575206338,0.0
QN0901,1.8834916275128712,1.8834916275128712,0.0
QN0902,2.8105962706980647,2.8105962706980647,0.0
QN0903,1.4716224758355725,1.4716224758355725,0.0
QN0904,1.6794222401837813,1.6794222401837813,0.0
QN0905,2.2031136170989214,2.2031136170989214,0.0
QN1001,7.598687719546116,7.598687719546116,0.0
QN1002,2.331279095376266,2.331279095376266,0.0
QN1003,4.884408696003948,4.884408696003948,0.0
QN1091,1.1001188725265338,1.1001188725265338,0.0
QN1101,5.15004658292507,5.15004658292507,0.0
QN1102,6.537895680245059,6.537895680245059,0.0
QN1103,6.328050632927168,6.328050632927168,0.0
QN1104,3.680290226769588,3.680290226769588,0.0
QN1191,2.426531141666199,2.426531141666199,0.0
QN1201,4.348204879367038,4.348204879367038,0.0
QN1202,3.515997104253692,3.515997104253692,0.0
QN1203,4.45219100430421,4.45219100430421,0.0
QN1204,3.200138466289246,3.200138466289246,0.0
QN1205,6.8969277230373125,6.8969277230373125,0.0
QN1206,2.272076561498723,2.272076561498723,0.0
QN1301,4.217705197161937,4.217705197161937,0.0
QN1302,5.1369806143511685,5.1369806143511685,0.0
QN1303,6.46789905691055,6.46789905691055,0.0
QN1304,3.071032081123667,3.071032081123667,0.0
QN1305,3.6993972457993367,3.6993972457993367,0.0
QN1306,5.333248666436198,5.333248666436198,0.0
QN1307,4.3860152186948325,4.3860152186948325,0.0
QN1371,0.4941771057519075,0.4941771057519075,0.0
QN1401,5.615311983932127,5.615311983932127,0.0
QN1402,4.689301908797041,4.689301908797041,0.0
QN1403,6.4282782810570405,6.4282782810570405,0.0
QN1491,0.8291485583449862,0.8291485583449862,0.0
QN8081,2.840417212944525,2.840417212944525,0.0
QN8191,5.126128890615108,5.126128890615108,0.0
QN8291,2.2293320269482297,2.2293320269482297,0.0
QN8381,18.309652914600285,18.309652914600285,0.0
QN8491,6.492212683574407,6.492212683574407,0.0
QN8492,4.887008933503477,4.887008933503477,0.0
SI0101,2.4611531199983663,2.4611531199983663,0.0
SI0102,2.2506388951208742,2.2506388951208742,0.0
SI0103,3.2728050887455518,3.2728050887455518,0.0
SI0104,7.924876011018824,7.924876011018824,0.0
SI0105,7.105044224107885,7.105044224107885,0.0
SI0106,3.3642741088525976,3.3642741088525976,0.0
SI0107,8.298901593761142,8.298901593761142,0.0
SI0191,0.3498615366363773,0.3498615366363773,0.0
SI0201,7.4378537600489585,7.4378537600489585,0.0
SI0202,5.772816261095731,5.772816261095731,0.0
SI0203,17.297252167944063,17.297252167944063,0.0
SI0204,19.43941228345685,19.43941228345685,0.0
SI0291,6.32959673812217,6.32959673812217,0.0
SI0301,5.193252846531517,5.193252846531517,0.0
SI0302,10.838657123855048,10.838657123855048,0.0
SI0303,6.292015922976717,6.292015922976717,0.0
SI0304,16.750480176333554,16.750480176333554,0.0
SI0305,11.769286710491643,11.769286710491643,0.0
SI0391,4.433836901256604,4.433836901256604,0.0
SI9561,0.916097478519558,0.916097478519558,0.0
SI9591,0.0590202301793543,0.0590202301793543,0.0
SI9592,1.0088868226759575,1.0088868226759575,0.0
SI9593,2.170481485979574,2.170481485979574,0.0
