rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_1pct,precision_at_5pct,precision_at_10pct,fold_id,target_definition,description,split,train_end_year,validation_year,test_year,model_name,raw_feature_count,model_feature_count,validation_selected_f1,fit_seconds,removed_formula_aligned_features
124974,14496,0.11599212636228336,0.5473769687728267,28744,0.22999983996671308,0.2693779571388812,0.5341473509933775,0.35814061054579094,0.293442192228371,0.7646104098837293,89477,21001,6753,7743,0.496,0.394783165306449,0.34133461353816613,final_style_2025,T1_min_count_2,T0 AND count_t+1 >= 2,validation,2023,2024,2025,lightgbm_no_8w_formula_features,57,69,0.35814061054579094,18.77818465232849,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,14367,0.11717067919357996,0.5473769687728267,29892,0.2437854766099041,0.2675966813863241,0.5567620240829679,0.36146320522379627,0.31725790988031954,0.7692565811723084,86356,21893,6368,7999,0.6014669926650367,0.4216277931821889,0.35622247594193446,final_style_2025,T1_min_count_2,T0 AND count_t+1 >= 2,test,2023,2024,2025,lightgbm_no_8w_formula_features,57,69,0.35814061054579094,18.77818465232849,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15330,0.12502446662752006,0.6,23963,0.19543126508775363,0.3479113633518341,0.5438356164383562,0.4243503931998066,0.3929497942561472,0.80988845781792,91660,15626,6993,8337,0.6829665851670742,0.5212852715707063,0.43793834610993315,fold_2021,T2_min_count_3,T0 AND count_t+1 >= 3,validation,2019,2020,2021,lightgbm_no_8w_formula_features,57,69,0.4243503931998066,10.572222709655762,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13979,0.11400632870098519,0.6,23822,0.19428133359431068,0.2976240450004198,0.507189355461764,0.37512235126054866,0.31207532529635545,0.7842021178492282,91905,16732,6889,7090,0.5126324368378158,0.4273364867068994,0.35972924482139945,fold_2021,T2_min_count_3,T0 AND count_t+1 >= 3,test,2019,2020,2021,lightgbm_no_8w_formula_features,57,69,0.4243503931998066,10.572222709655762,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13979,0.11400632870098519,0.6900000000000001,26160,0.21334899197494617,0.2812308868501529,0.5262894341512269,0.3665761478860958,0.3133428558465515,0.7796364861536728,89834,18803,6622,7357,0.5533822330888346,0.4129832001304844,0.3551622900016311,fold_2022,T2_min_count_3,T0 AND count_t+1 >= 3,validation,2020,2021,2022,lightgbm_no_8w_formula_features,57,69,0.3665761478860958,12.388866186141968,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13322,0.10864813727409148,0.6900000000000001,26817,0.2187071834018399,0.26102845210127906,0.52544662963519,0.3487879618326316,0.28138031196229835,0.7717501016274102,89477,19817,6322,7000,0.46943765281173594,0.3733485565160659,0.32572174196705267,fold_2022,T2_min_count_3,T0 AND count_t+1 >= 3,test,2020,2021,2022,lightgbm_no_8w_formula_features,57,69,0.3665761478860958,12.388866186141968,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13322,0.10864813727409148,0.6171905403968466,24524,0.20000652443400535,0.262436796607405,0.4831106440474403,0.3401152037203403,0.282786568958086,0.7635338729293626,91206,18088,6886,6436,0.5044824775876121,0.3850921546240418,0.32490621432066547,fold_2023,T2_min_count_3,T0 AND count_t+1 >= 3,validation,2021,2022,2023,lightgbm_no_8w_formula_features,57,69,0.3401152037203403,14.680649757385254,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13313,0.10857473739153128,0.6171905403968466,23176,0.18901285313499053,0.2679496030376251,0.4664613535641854,0.34037655183754006,0.28053700727926206,0.7677480626460333,92337,16966,7103,6210,0.4661776691116544,0.38085141086282825,0.3258848474963301,fold_2023,T2_min_count_3,T0 AND count_t+1 >= 3,test,2021,2022,2023,lightgbm_no_8w_formula_features,57,69,0.3401152037203403,14.680649757385254,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13313,0.10857473739153128,0.6,26176,0.21347948065505318,0.2675351466992665,0.5260271914669872,0.354681050419104,0.30055831012525946,0.7783625196397939,90130,19173,6310,7003,0.534637326813366,0.4002609688468439,0.33330614907845374,fold_2024,T2_min_count_3,T0 AND count_t+1 >= 3,validation,2022,2023,2024,lightgbm_no_8w_formula_features,57,69,0.354681050419104,17.429118394851685,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.6,25231,0.20188999311856867,0.2822718084895565,0.5192854538826103,0.36573717454937604,0.3082224529039512,0.7852256261207256,93150,18109,6593,7122,0.5352,0.4077452392382781,0.34925588094095056,fold_2024,T2_min_count_3,T0 AND count_t+1 >= 3,test,2022,2023,2024,lightgbm_no_8w_formula_features,57,69,0.354681050419104,17.429118394851685,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
