complaint_type,complaint_category,complaint_count,share_of_all_requests,rank_within_category
Bike Rack,parking_traffic,754,2.4369646293329933e-05,26
City Vehicle Placard Complaint,parking_traffic,740,2.391715949212752e-05,27
Taxi Compliment,parking_traffic,565,1.8261074477097365e-05,28
Green Taxi Report,parking_traffic,191,6.173212787832914e-06,29
Bike/Roller/Skate,parking_traffic,130,4.201663154022402e-06,30
Dispatched Taxi Complaint,parking_traffic,87,2.8118822646149923e-06,31
Taxi Licensee Complaint,parking_traffic,55,1.7776267190094778e-06,32
FHV Licensee Complaint,parking_traffic,54,1.7453062332093055e-06,33
OEM Disabled Vehicle,parking_traffic,43,1.38978088940741e-06,34
Highway Sign - Damaged,parking_traffic,17,5.494482586029295e-07,35
Dispatched Taxi Compliment,parking_traffic,4,1.292819432006893e-07,36
Highway Sign - Dangling,parking_traffic,3,9.696145740051698e-08,37
Highway Sign - Missing,parking_traffic,2,6.464097160034465e-08,38
Request Changes - A.S.P.,parking_traffic,1,3.2320485800172325e-08,39
Homeless Person Assistance,public_safety,325920,0.010533892731992164,1
Non-Emergency Police Matter,public_safety,233453,0.00754531437150763,2
Consumer Complaint,public_safety,215042,0.0069502619074406575,3
Food Establishment,public_safety,113997,0.003684438419762245,4
Illegal Fireworks,public_safety,112677,0.003641775378506017,5
Vendor Enforcement,public_safety,68681,0.0022198032852416357,6
NonCompliance with Phased Reopening,public_safety,66221,0.0021402948901732117,7
Other Enforcement,public_safety,47794,0.0015447252983334361,8
Panhandling,public_safety,47402,0.0015320556678997685,9
Emergency Response Team (ERT),public_safety,39767,0.0012852887588154528,10
Violation of Park Rules,public_safety,31385,0.0010143784468384085,11
Food Poisoning,public_safety,31102,0.0010052317493569596,12
Outdoor Dining,public_safety,30052,0.0009712952392667788,13
Drinking,public_safety,29451,0.0009518706273008751,14
Real Time Enforcement,public_safety,28477,0.0009203904741315074,15
Mobile Food Vendor,public_safety,26894,0.0008692271451098345,16
Smoking,public_safety,26592,0.0008594663583981825,17
Homeless Encampment,public_safety,26423,0.0008540041962979534,18
School Maintenance,public_safety,17123,0.0005534236783563507,19
Illegal Posting,public_safety,16929,0.0005471535041111173,20
Day Care,public_safety,11039,0.0003567858427481023,21
Smoking or Vaping,public_safety,10030,0.00032417447257572843,22
Urinating in Public,public_safety,9256,0.00029915841656639504,23
Vaccine Mandate Non-Compliance,public_safety,7383,0.0002386221466626723,24
Sustainability Enforcement,public_safety,6381,0.00020623701989089962,25
Investigations and Discipline (IAD),public_safety,6285,0.00020313425325408307,26
Mass Gathering Complaint,public_safety,3645,0.00011780817074162813,27
Disorderly Youth,public_safety,2527,8.167386761703547e-05,28
Public Payphone Complaint,public_safety,1893,6.118267961972622e-05,29
Tattooing,public_safety,1580,5.1066367564272275e-05,30
Senior Center Complaint,public_safety,1289,4.1661106196422126e-05,31
Private School Vaccine Mandate Non-Compliance,public_safety,219,7.0781863902377395e-06,32
Foam Ban Enforcement,public_safety,82,2.6502798356141307e-06,33
Special Enforcement,public_safety,17,5.494482586029295e-07,34
Public Assembly,public_safety,11,3.5552534380189557e-07,35
Facade Insp Safety Pgm,public_safety,2,6.464097160034465e-08,36
Fire Alarm - Replacement,public_safety,1,3.2320485800172325e-08,37
Public Assembly - Temporary,public_safety,1,3.2320485800172325e-08,38
Request Large Bulky Item Collection,sanitation,1072412,0.03466087681793441,1
Missed Collection (All Materials),sanitation,256060,0.008275983593992125,2
Sanitation Condition,sanitation,239725,0.007748028458446311,3
Dirty Conditions,sanitation,235451,0.0076098907021363744,4
Dirty Condition,sanitation,222763,0.007199808378303788,5
Missed Collection,sanitation,220153,0.007115451910365338,6
Graffiti,sanitation,171621,0.005546874093511375,7
Illegal Dumping,sanitation,146263,0.004727291214590605,8
Derelict Vehicle,sanitation,141347,0.004568403706396958,9
Electronics Waste Appointment,sanitation,87943,0.0028423604827245547,10
Animal-Abuse,sanitation,53228,0.0017203548181715725,11
Residential Disposal Complaint,sanitation,51549,0.0016660887225130832,12
Animal Abuse,sanitation,42059,0.001359367312269448,13
Dead Animal,sanitation,41924,0.0013550040466864246,14
Litter Basket / Request,sanitation,16934,0.0005473151065401181,15
Litter Basket Request,sanitation,15235,0.0004924026011656254,16
Commercial Disposal Complaint,sanitation,10683,0.00034527974980324097,17
Unsanitary Pigeon Condition,sanitation,10010,0.000323528062859725,18
Overflowing Litter Baskets,sanitation,9656,0.00031208661088646397,19
Dumpster Complaint,sanitation,7713,0.0002492879069767291,20
Lot Condition,sanitation,7696,0.00024873845871812623,21
Sweeping/Missed,sanitation,7245,0.0002341619196222485,22
Litter Basket Complaint,sanitation,6142,0.00019851242378465843,23
Illegal Animal Kept as Pet,sanitation,4451,0.000143858482296567,24
Recycling Enforcement,sanitation,4428,0.00014311511112316305,25
Wood Pile Remaining,sanitation,3432,0.00011092390726619142,26
Sweeping/Inadequate,sanitation,1972,6.373599799793982e-05,27
Request Xmas Tree Collection,sanitation,1265,4.0885414537217994e-05,28
Seasonal Collection,sanitation,789,2.5500863296335965e-05,29
Recycling Basket Complaint,sanitation,372,1.2023220717664106e-05,30
Institution Disposal Complaint,sanitation,241,7.789237077841531e-06,31
Overflowing Recycling Baskets,sanitation,132,4.266304125622747e-06,32
DSNY Spillage,sanitation,4,1.292819432006893e-07,33
Asbestos/Garbage Nuisance,sanitation,1,3.2320485800172325e-08,34
Change Collection Schedule,sanitation,1,3.2320485800172325e-08,35
Trapping Pigeon,sanitation,1,3.2320485800172325e-08,36
Water System,water_sewer,703279,0.022730318933059393,1
Sewer,water_sewer,332488,0.010746173682727697,2
Root/Sewer/Sidewalk Condition,water_sewer,101102,0.0032676657553690224,3
Water Conservation,water_sewer,44148,0.001426884807106008,4
Water Quality,water_sewer,17402,0.0005624410938945988,5
Indoor Sewage,water_sewer,9719,0.00031412280149187483,6
Drinking Water,water_sewer,2477,8.005784332702685e-05,7
Beach/Pool/Sauna Complaint,water_sewer,2071,6.69357260921569e-05,8
Water Drainage,water_sewer,136,4.395586068823436e-06,9
Bottled Water,water_sewer,117,3.7814968386201623e-06,10
