rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,target_definition,description,feature_config,split,seed,raw_feature_count,model_feature_count,fit_seconds,validation_selected_f1,contains_weather,contains_borough,contains_nta_fe,contains_osm_pluto,removed_formula_aligned_features
124974,13715,0.10974282650791364,0.5997159034989162,26245,0.21000368076559925,0.26504096018289197,0.5071819176084579,0.34814814814814815,0.27911792802837465,0.770747332529714,0.456,0.36885901744279087,0.3222115538486158,0.18756983370260707,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,validation,2026,40,309,17.23037600517273,0.34814814814814815,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5997159034989162,27301,0.22265446597507665,0.2643126625398337,0.5320749152042472,0.35318013851161195,0.3031780901976447,0.7770668852262179,0.5395273023634882,0.3983037024955146,0.3335508073723699,0.19083777516282058,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,test,2026,40,309,17.23037600517273,0.34814814814814815,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5817344001639302,27495,0.22000576119832926,0.2720858337879615,0.5454611738971928,0.36306721669497694,0.29835602802272637,0.7823578902153854,0.492,0.394783165306449,0.3434149463914226,0.17626561357758402,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,validation,2026,57,69,22.041428327560425,0.36306721669497694,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5817344001639302,28447,0.23200071768774058,0.26955390726614403,0.5654033328417638,0.3650646290080697,0.32127125469946244,0.7877497142395145,0.589242053789731,0.41999673788941444,0.3554069482955472,0.18013776226211412,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,test,2026,57,69,22.041428327560425,0.36306721669497694,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5791977393354921,27495,0.22000576119832926,0.27215857428623386,0.5456069996354357,0.3631642805144382,0.29617904165945935,0.7824054301479015,0.4808,0.39766362618018886,0.342774843975036,0.1756801912286983,T2_min_count_3,T0 AND count_t+1 >= 3,08_final_no_shortcut_nta_fe,validation,2026,58,331,20.421841859817505,0.3631642805144382,True,True,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5791977393354921,28551,0.2328488941084361,0.26881720430107525,0.5659194809025218,0.36449552394747464,0.3173411036417574,0.7874076159961524,0.5656071719641402,0.42064916000652425,0.3549991844723536,0.17976528310647874,T2_min_count_3,T0 AND count_t+1 >= 3,08_final_no_shortcut_nta_fe,test,2026,58,331,20.421841859817505,0.3631642805144382,True,True,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5648841467082644,27495,0.22000576119832926,0.25891980360065464,0.5190667152752461,0.3454986653724824,0.2770223381740467,0.7678298521161225,0.472,0.36741878700592095,0.31669067050728117,0.1734915082743438,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,validation,3407,16,24,10.902551889419556,0.3454986653724824,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5648841467082644,27272,0.22241795524238273,0.2600836022293928,0.5230054564223566,0.347406572953911,0.28980645871358124,0.7712995216923485,0.49877750611246946,0.3878649486217583,0.3289022997879628,0.17394275858089175,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,test,3407,16,24,10.902551889419556,0.3454986653724824,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.59,28549,0.2284395154192072,0.25633122000770603,0.5335763762304047,0.3462994510694681,0.2733970631796062,0.7691368883167797,0.4208,0.36501840294447113,0.3191710673707793,0.18787547122438272,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,validation,3407,39,47,13.148389101028442,0.3462994510694681,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.59,29607,0.24146114699549814,0.25683115479447427,0.5606842648576906,0.3522898376149552,0.298334064428481,0.7769630248459201,0.5362673186634067,0.38900668732670035,0.33028869678682105,0.1911810820282544,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,test,3407,39,47,13.148389101028442,0.3462994510694681,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
