feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
poi_safety_public_service_count,262.0,1.0190839694656488,1.4528404997887168,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.389999999999986,7.0
poi_safety_public_service_share,262.0,0.00397398306727859,0.011506736618060167,0.0,0.0,0.0,0.0,0.0,0.005344305936439458,0.013380608669959047,0.02059440559440555,0.16666666666666666
poi_safety_public_service_density_per_km2,262.0,0.47997386931701475,0.8417319993039519,0.0,0.0,0.0,0.0,0.0,0.682070177080023,2.1714763903585608,3.6286151250055005,6.532457532677487
poi_employment_industrial_count,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_employment_industrial_share,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_employment_industrial_density_per_km2,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_osm_tag_amenity_count,262.0,118.20229007633588,139.78755471967298,0.0,0.0,1.0,26.0,69.0,151.75,399.5499999999999,567.299999999999,961.0
poi_osm_tag_amenity_share,262.0,0.3690557015291003,0.17829202080664144,0.0,0.0,0.08389603771181042,0.2727272727272727,0.3680212715294865,0.4612166076601223,0.6552419536248054,1.0,1.0
poi_osm_tag_highway_count,262.0,44.85114503816794,34.51443113450185,0.0,0.0,0.0,16.0,42.5,65.0,106.94999999999999,148.62999999999977,209.0
poi_osm_tag_highway_share,262.0,0.1987198468072573,0.1289100047275311,0.0,0.0,0.0,0.11048274253731344,0.18337658540151322,0.2815354189140597,0.41996501749125426,0.4851941747572812,0.8571428571428571
poi_osm_tag_leisure_count,262.0,51.278625954198475,127.74190724687917,0.0,0.0,0.0,8.0,21.5,47.0,174.5999999999999,545.8799999999987,1616.0
poi_osm_tag_leisure_share,262.0,0.17206024646508294,0.18124965683486655,0.0,0.0,0.0,0.06075841431237532,0.1096798275886355,0.2130087038343919,0.5705968688845399,0.8370827320827315,1.0
poi_osm_tag_public_transport_count,262.0,81.76335877862596,67.54040448860084,0.0,0.0,0.0,26.25,73.0,117.0,205.89999999999998,277.0399999999995,401.0
poi_osm_tag_public_transport_share,262.0,0.34146152190192514,0.20984428935867466,0.0,0.0,0.0,0.17657062825130054,0.3286290322580645,0.47394053315105944,0.7128158448850674,0.8699166666666666,1.0
poi_osm_tag_railway_count,262.0,19.33206106870229,28.176381422482585,0.0,0.0,0.0,0.0,11.0,28.75,61.849999999999966,134.44999999999925,223.0
poi_osm_tag_railway_share,262.0,0.059497648188206104,0.06933589236749393,0.0,0.0,0.0,0.0,0.04113897272445209,0.09436274509803921,0.2127653108929406,0.2784523809523808,0.3333333333333333
poi_osm_tag_shop_count,262.0,31.958015267175572,43.72285312855184,0.0,0.0,0.0,1.0,14.0,45.75,109.0,188.5799999999997,271.0
poi_osm_tag_shop_share,262.0,0.07680809106147334,0.06777930306421917,0.0,0.0,0.0,0.016370278467052662,0.07186243529368368,0.11967359050445103,0.19992466878566073,0.2635090367590061,0.292972972972973
poi_osm_tag_tourism_count,262.0,5.587786259541985,16.815824616493956,0.0,0.0,0.0,0.0,1.0,3.0,26.94999999999999,60.0,161.0
poi_osm_tag_tourism_share,262.0,0.012404329144676745,0.027659931629663945,0.0,0.0,0.0,0.0,0.003696971353597201,0.012182778710378197,0.05308789714698582,0.1495236588067731,0.22018348623853212
