target_definition,split,volume_decile,rows,rolling_8w_mean_min,rolling_8w_mean_median,rolling_8w_mean_max,positive_rows,positive_share,precision,recall,f1,pr_auc,alert_rate,precision_at_1pct,precision_at_5pct
T1_min_count_2,test,D5,24759,5.25,7.125,9.25,3648,0.1473403610808191,0.2728260869565217,0.5504385964912281,0.3648255813953488,0.31587333891901753,0.29726564077709117,0.5806451612903226,0.4394184168012924
T1_min_count_2,test,D6,24759,9.25,11.75,14.625,3379,0.13647562502524335,0.2710959513569628,0.5409884581237052,0.3611934400316143,0.30754482666070393,0.2723454097499899,0.532258064516129,0.4168012924071082
T1_min_count_2,test,D7,24759,14.625,18.25,23.0,3106,0.12544933155620178,0.26862416107382553,0.5154539600772698,0.3531877343922347,0.2892161992663242,0.24072054606405752,0.5120967741935484,0.3877221324717286
T1_min_count_2,test,D8,24759,23.0,29.625,39.125,3182,0.12851892241205218,0.28696782580435487,0.5549968573224388,0.3783204798628963,0.32469835664646557,0.24855608061714932,0.5564516129032258,0.45476575121163165
T1_min_count_2,test,D9,24759,39.125,53.75,78.125,3397,0.1372026333858395,0.29689568927468,0.5940535766853106,0.39591916813812045,0.360478060749505,0.27452643483177835,0.6411290322580645,0.4927302100161551
T1_min_count_2,test,D10,24759,78.125,121.75,9050.5,3355,0.1355062805444485,0.3189940436796823,0.5746646795827124,0.41025641025641024,0.3865947472708126,0.24411325174683954,0.7217741935483871,0.5129240710823909
T2_min_count_3,validation,D1,12262,0.0,0.0,0.0,28,0.002283477409884195,0.25,0.03571428571428571,0.0625,0.055361741190218805,0.00032621105855488503,0.032520325203252036,0.016286644951140065
T2_min_count_3,validation,D2,12262,0.0,0.25,0.5,285,0.023242537922035556,0.21212121212121213,0.07368421052631578,0.109375,0.0966378912853753,0.008073723699233403,0.17886178861788618,0.1270358306188925
T2_min_count_3,validation,D3,12261,0.5,1.0,2.0,1395,0.11377538536824076,0.2684497275879148,0.38853046594982077,0.3175161101347393,0.24959125123447967,0.16466846097381943,0.42276422764227645,0.3534201954397394
T2_min_count_3,validation,D4,12262,2.0,3.375,4.875,1850,0.1508726145816343,0.25265700483091785,0.5654054054054054,0.34924874791318866,0.29468987295430776,0.337628445604306,0.5772357723577236,0.3973941368078176
T2_min_count_3,validation,D5,12261,4.875,6.625,8.75,1715,0.13987439849930675,0.26162018592297476,0.5743440233236151,0.3594890510948905,0.31011544965268506,0.30707120137019817,0.5365853658536586,0.44462540716612375
T2_min_count_3,validation,D6,12262,8.75,11.125,14.0,1658,0.13521448377099984,0.2631278538812785,0.5560916767189384,0.3572258814413018,0.3056962579394826,0.2857608872940793,0.5203252032520326,0.4201954397394137
T2_min_count_3,validation,D7,12261,14.0,17.625,22.0,1635,0.13334964521654025,0.2697563874034462,0.5553516819571865,0.36312737452509497,0.29575135638848365,0.2745289943724003,0.4634146341463415,0.4153094462540717
T2_min_count_3,validation,D8,12262,22.0,28.125,36.25,1565,0.12763007665959877,0.26392868513212353,0.5297124600638977,0.3523161920951976,0.2896235369374,0.2561572337302235,0.45528455284552843,0.38436482084690554
T2_min_count_3,validation,D9,12261,36.25,50.0,72.625,1628,0.13277872930429818,0.28175591531755917,0.5558968058968059,0.3739669421487603,0.337187147030435,0.26196884430307477,0.6097560975609756,0.44625407166123776
T2_min_count_3,validation,D10,12262,72.625,113.625,540.375,1554,0.12673299624857282,0.2884483937115516,0.5431145431145431,0.3767857142857143,0.34271360752117186,0.2386233893328984,0.7154471544715447,0.46254071661237783
T2_min_count_3,test,D1,24759,0.0,0.0,0.0,62,0.0025041399087200613,0.0,0.0,0.0,0.01995107782104489,0.00024233612019871562,0.036290322580645164,0.020193861066235864
T2_min_count_3,test,D2,24759,0.0,0.25,0.5,584,0.02358738236600832,0.25125628140703515,0.08561643835616438,0.1277139208173691,0.11328300829860556,0.008037481319924067,0.2217741935483871,0.13004846526655897
T2_min_count_3,test,D3,24759,0.5,1.125,2.25,2923,0.11805807989014096,0.2627174631138516,0.4081423195347246,0.3196677384780279,0.2555548185693238,0.18340805363706128,0.4596774193548387,0.3562197092084006
T2_min_count_3,test,D4,24759,2.25,3.625,5.25,3641,0.14705763560725393,0.26651896259611624,0.5616588849217248,0.36149902775322607,0.3014181726474493,0.30990750838079084,0.5161290322580645,0.41033925686591277
T2_min_count_3,test,D5,24759,5.25,7.125,9.25,3648,0.1473403610808191,0.27162199502625034,0.5389254385964912,0.3611978688223406,0.3155339078923822,0.29233813966638394,0.5685483870967742,0.4378029079159935
T2_min_count_3,test,D6,24759,9.25,11.75,14.625,3379,0.13647562502524335,0.27350044762757386,0.5424681858538029,0.3636543993651423,0.30510633065145437,0.27068944626196534,0.5282258064516129,0.41518578352180935
T2_min_count_3,test,D7,24759,14.625,18.25,23.0,3106,0.12544933155620178,0.2691266079891672,0.5119124275595621,0.3527845573552252,0.2891451311792868,0.23862029968900197,0.49193548387096775,0.3861066235864297
T2_min_count_3,test,D8,24759,23.0,29.625,39.125,3182,0.12851892241205218,0.2875613747954173,0.5521684475172848,0.37817477399913907,0.32388306579742515,0.2467789490690254,0.5846774193548387,0.45234248788368336
T2_min_count_3,test,D9,24759,39.125,53.75,78.125,3397,0.1372026333858395,0.29646812331637235,0.5831616131881071,0.39309455303105467,0.36266422203090853,0.2698816591946363,0.6693548387096774,0.5
T2_min_count_3,test,D10,24759,78.125,121.75,9050.5,3355,0.1355062805444485,0.3249483115093039,0.5621460506706408,0.4118353532044983,0.3880735791792466,0.23441980693889092,0.717741935483871,0.5201938610662359
T3_mu8w_ge_1_eligible,validation,D1,9281,1.0,1.625,2.5,1315,0.1416873181769206,0.26025236593059936,0.5019011406844106,0.3427681121786549,0.27810357170010636,0.2732464174119168,0.3763440860215054,0.37849462365591396
T3_mu8w_ge_1_eligible,validation,D2,9280,2.5,3.625,4.75,1397,0.15053879310344828,0.24612686349020754,0.6027201145311382,0.3495226234952262,0.29777597930503136,0.36864224137931034,0.6451612903225806,0.40948275862068967
T3_mu8w_ge_1_eligible,validation,D3,9280,4.75,6.0,7.5,1287,0.1386853448275862,0.25592568866111465,0.6208236208236209,0.3624404626899524,0.3085839169203271,0.33642241379310345,0.4731182795698925,0.4396551724137931
T3_mu8w_ge_1_eligible,validation,D4,9280,7.5,9.0,10.875,1269,0.13674568965517242,0.2552387495705943,0.5855003940110323,0.3555023923444976,0.31073147552771774,0.3136853448275862,0.6236559139784946,0.4547413793103448
T3_mu8w_ge_1_eligible,validation,D5,9281,10.875,13.0,15.5,1252,0.13489925654563087,0.2550985136536467,0.5894568690095847,0.3560916767189385,0.3043270875128949,0.3117120999892253,0.5053763440860215,0.421505376344086
T3_mu8w_ge_1_eligible,validation,D6,9280,15.5,18.375,21.75,1230,0.13254310344827586,0.2641785583607757,0.5869918699186992,0.36437042644461265,0.294346577886709,0.2945043103448276,0.5268817204301075,0.40086206896551724
T3_mu8w_ge_1_eligible,validation,D7,9280,21.75,26.125,31.5,1174,0.12650862068965518,0.25463145447378793,0.5502555366269165,0.34815413635138776,0.27935923563906134,0.27338362068965516,0.40860215053763443,0.36637931034482757
T3_mu8w_ge_1_eligible,validation,D8,9280,31.5,38.875,49.625,1230,0.13254310344827586,0.27701911822083497,0.5772357723577236,0.3743738465594516,0.3381548161790398,0.2761853448275862,0.6451612903225806,0.45689655172413796
T3_mu8w_ge_1_eligible,validation,D9,9280,49.625,65.125,88.75,1245,0.1341594827586207,0.2759009009009009,0.5903614457831325,0.3760552570990023,0.3352086950426304,0.28706896551724137,0.6344086021505376,0.4396551724137931
T3_mu8w_ge_1_eligible,validation,D10,9281,88.75,133.0,540.375,1149,0.12380131451352225,0.2791548151158066,0.597911227154047,0.38060941828254846,0.33973886633484796,0.26516539166038144,0.7419354838709677,0.4559139784946237
