year,complaint_type,rows,period
2016,DRIE,623,2015-2019
2016,Unleashed Dog,612,2015-2019
2016,Day Care,540,2015-2019
2016,DPR Internal,521,2015-2019
2016,Urinating in Public,470,2015-2019
2016,Panhandling,462,2015-2019
2016,Investigations and Discipline (IAD),430,2015-2019
2016,Adopt-A-Basket,429,2015-2019
2016,Animal in a Park,400,2015-2019
2016,Violation of Park Rules,395,2015-2019
2016,For Hire Vehicle Report,378,2015-2019
2016,Drug Activity,370,2015-2019
2016,Cranes and Derricks,347,2015-2019
2016,Bike/Roller/Skate Chronic,344,2015-2019
2016,Dead Tree,342,2015-2019
2016,City Vehicle Placard Complaint,342,2015-2019
2016,Facades,335,2015-2019
2016,Senior Center Complaint,326,2015-2019
2016,Public Payphone Complaint,313,2015-2019
2016,Mold,312,2015-2019
2016,Found Property,288,2015-2019
2016,Illegal Animal Kept as Pet,284,2015-2019
2016,Scaffold Safety,280,2015-2019
2016,Sweeping/Inadequate,246,2015-2019
2016,Disorderly Youth,229,2015-2019
2016,Bridge Condition,219,2015-2019
2016,Illegal Fireworks,209,2015-2019
2016,Quality of Life,206,2015-2019
2016,Plant,205,2015-2019
2016,Bus Stop Shelter Placement,188,2015-2019
2016,Harboring Bees/Wasps,177,2015-2019
2016,Collection Truck Noise,172,2015-2019
2016,Beach/Pool/Sauna Complaint,168,2015-2019
2016,Drinking Water,148,2015-2019
2016,Poison Ivy,131,2015-2019
2016,Bike Rack Condition,108,2015-2019
2016,Special Natural Area District (SNAD),90,2015-2019
2016,Tattooing,81,2015-2019
2016,Literature Request,73,2015-2019
2016,Municipal Parking Facility,67,2015-2019
2016,Unsanitary Animal Facility,65,2015-2019
2016,Animal Facility - No Permit,60,2015-2019
2016,Illegal Animal Sold,54,2015-2019
2016,Window Guard,53,2015-2019
2016,LinkNYC,52,2015-2019
2016,OEM Disabled Vehicle,43,2015-2019
2016,Public Toilet,38,2015-2019
2016,Overflowing Recycling Baskets,32,2015-2019
2016,FATF,23,2015-2019
2016,ATF,17,2015-2019
2016,Bottled Water,15,2015-2019
2016,Lifeguard,13,2015-2019
2016,Legal Services Provider Complaint,12,2015-2019
2016,X-Ray Machine/Equipment,12,2015-2019
2016,Tanning,12,2015-2019
2016,Calorie Labeling,9,2015-2019
2016,Radioactive Material,9,2015-2019
2016,Transportation Provider Complaint,8,2015-2019
2016,SRDE,7,2015-2019
2016,Forensic Engineering,5,2015-2019
2016,Squeegee,5,2015-2019
2016,Advocate-Commercial Exemptions,4,2015-2019
2016,Request Xmas Tree Collection,3,2015-2019
2016,Interior Demo,3,2015-2019
2016,Trans Fat,3,2015-2019
2016,Taxpayer Advocate Inquiry,3,2015-2019
2016,Construction,2,2015-2019
2016,ZTESTINT,2,2015-2019
2016,AGENCY,2,2015-2019
2016,VACANT APARTMENT,2,2015-2019
2016,Advocate-Business Tax,2,2015-2019
2016,Asbestos/Garbage Nuisance,1,2015-2019
2016,Advocate - Other,1,2015-2019
2016,Building Condition,1,2015-2019
2016,Advocate-UBT,1,2015-2019
2016,Trapping Pigeon,1,2015-2019
2016,LEAD,1,2015-2019
2016,MOLD,1,2015-2019
2016,Stalled Sites,1,2015-2019
2017,Noise - Residential,229715,2015-2019
2017,HEAT/HOT WATER,213477,2015-2019
2017,Illegal Parking,145281,2015-2019
2017,Blocked Driveway,135667,2015-2019
2017,Street Condition,89396,2015-2019
2017,UNSANITARY CONDITION,79260,2015-2019
2017,Noise - Street/Sidewalk,72694,2015-2019
2017,Water System,63451,2015-2019
2017,Noise,59154,2015-2019
2017,PAINT/PLASTER,57069,2015-2019
2017,Street Light Condition,49980,2015-2019
2017,PLUMBING,49958,2015-2019
2017,Noise - Commercial,47318,2015-2019
2017,Request Large Bulky Item Collection,46604,2015-2019
2017,Sanitation Condition,37017,2015-2019
2017,Missed Collection (All Materials),36057,2015-2019
2017,Dirty Conditions,35239,2015-2019
2017,DOOR/WINDOW,35003,2015-2019
2017,Rodent,34869,2015-2019
2017,Derelict Vehicle,34528,2015-2019
2017,Derelict Vehicles,33402,2015-2019
2017,WATER LEAK,32173,2015-2019
2017,General Construction/Plumbing,31440,2015-2019
2017,Sewer,31374,2015-2019
2017,Noise - Vehicle,29232,2015-2019
2017,Sidewalk Condition,28869,2015-2019
2017,Building/Use,28590,2015-2019
2017,ELECTRIC,25915,2015-2019
2017,GENERAL,24961,2015-2019
2017,Damaged Tree,24022,2015-2019
2017,FLOORING/STAIRS,23923,2015-2019
2017,Homeless Person Assistance,22973,2015-2019
2017,Traffic Signal Condition,21085,2015-2019
2017,Graffiti,18786,2015-2019
2017,New Tree Request,16947,2015-2019
2017,Consumer Complaint,16575,2015-2019
2017,Overgrown Tree/Branches,14390,2015-2019
2017,Taxi Complaint,13769,2015-2019
2017,Electronics Waste,13467,2015-2019
2017,Elevator,13170,2015-2019
2017,APPLIANCE,12607,2015-2019
2017,Snow,11599,2015-2019
2017,Dead/Dying Tree,11119,2015-2019
2017,Food Establishment,10385,2015-2019
2017,Non-Emergency Police Matter,9967,2015-2019
2017,Broken Muni Meter,9400,2015-2019
2017,Animal Abuse,9155,2015-2019
2017,Root/Sewer/Sidewalk Condition,8673,2015-2019
2017,SAFETY,8647,2015-2019
2017,For Hire Vehicle Complaint,8279,2015-2019
2017,Plumbing,8053,2015-2019
2017,Street Sign - Damaged,7936,2015-2019
2017,Lead,7930,2015-2019
2017,Other Enforcement,7730,2015-2019
2017,Air Quality,7590,2015-2019
2017,Curb Condition,6012,2015-2019
2017,Street Sign - Missing,5863,2015-2019
2017,Traffic,5549,2015-2019
2017,Vending,5096,2015-2019
2017,Homeless Encampment,4924,2015-2019
2017,Noise - Park,4503,2015-2019
2017,Indoor Air Quality,4402,2015-2019
2017,Emergency Response Team (ERT),4351,2015-2019
2017,Construction Safety Enforcement,4025,2015-2019
2017,Miscellaneous Categories,3879,2015-2019
2017,Electrical,3775,2015-2019
2017,Special Projects Inspection Team (SPIT),3624,2015-2019
2017,Maintenance or Facility,3590,2015-2019
2017,Food Poisoning,3264,2015-2019
2017,Illegal Tree Damage,3052,2015-2019
2017,Water Conservation,2933,2015-2019
2017,Hazardous Materials,2902,2015-2019
2017,Litter Basket / Request,2768,2015-2019
2017,Standing Water,2646,2015-2019
2017,Street Sign - Dangling,2552,2015-2019
2017,Sustainability Enforcement,2465,2015-2019
2017,Smoking,2381,2015-2019
2017,Highway Condition,2371,2015-2019
2017,Unsanitary Animal Pvt Property,2282,2015-2019
2017,BEST/Site Safety,2169,2015-2019
2017,Vacant Lot,2148,2015-2019
2017,Drug Activity,2131,2015-2019
2017,Taxi Report,2070,2015-2019
2017,Building Marshals office,2041,2015-2019
2017,School Maintenance,2040,2015-2019
2017,Derelict Bicycle,1923,2015-2019
2017,Broken Parking Meter,1896,2015-2019
2017,Asbestos,1804,2015-2019
2017,Boilers,1532,2015-2019
2017,Water Quality,1522,2015-2019
2017,Drinking,1498,2015-2019
2017,Industrial Waste,1375,2015-2019
2017,DRIE,1299,2015-2019
2017,ELEVATOR,1277,2015-2019
2017,OUTSIDE BUILDING,1273,2015-2019
2017,Request Xmas Tree Collection,1254,2015-2019
2017,Indoor Sewage,1144,2015-2019
2017,Bus Stop Shelter Complaint,1127,2015-2019
2017,Non-Residential Heat,1116,2015-2019
