rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,log_loss,ece,mce,calibration_slope,calibration_intercept,target_definition,description,fold_id,train_end_year,validation_year,test_year,split,calibration_method,calibrator_fit_split,model_name,removed_formula_aligned_features,raw_feature_count,model_feature_count,fit_seconds
122616,13313,0.10857473739153128,0.17914676376424493,26176,0.21347948065505318,0.2675351466992665,0.5260271914669872,0.354681050419104,0.30055831012525946,0.7783625196397939,0.534637326813366,0.4002609688468439,0.33330614907845374,0.08637555816259024,0.2926843856110661,0.004770614742879118,0.21513507260908793,1.0003943583803263,0.0002713891805853827,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2024,2022,2023,2024,validation,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,18.257171392440796
124974,13715,0.10974282650791364,0.17914676376424493,25231,0.20188999311856867,0.2822718084895565,0.5192854538826103,0.36573717454937604,0.3082224529039512,0.7852256261207256,0.5352,0.4077452392382781,0.34925588094095056,0.08648741058826263,0.2922211109283104,0.005547992751418648,0.0630075141254427,1.0051709533749684,0.0625290056418042,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2024,2022,2023,2024,test,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,18.257171392440796
122616,13313,0.10857473739153128,0.1766361717100634,26338,0.21480067854113655,0.2671804996582884,0.5285810861563885,0.35494691180550303,0.2958776610220929,0.7789843984689481,0.537082314588427,0.40221823519817324,0.33591583754689286,0.08607312665126127,0.29070484319876794,1.5577086248369993e-09,2.609289617705457e-09,1.0002916700015614,0.0005101417651128611,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2024,2022,2023,2024,validation,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,18.257171392440796
124974,13715,0.10974282650791364,0.1766361717100634,25401,0.20325027605741994,0.28148498090626356,0.5213270142180095,0.3655793025871766,0.30187755724894916,0.7849638959928222,0.5376,0.4067850856136982,0.3496559449511922,0.08651735675521102,0.29113147962966124,0.005557317614816147,0.15562083035422625,0.9895611555785442,0.032410701808869215,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2024,2022,2023,2024,test,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,18.257171392440796
124974,13715,0.10974282650791364,0.5451719983738332,28744,0.22999983996671308,0.2666991372112441,0.5589500546846519,0.36110129772250876,0.29385265114579057,0.7805600403536972,0.488,0.390622499599936,0.33637381981116976,0.16438277302533594,0.48548325563586076,0.24260016446255375,0.4154796110804512,1.0026993432187437,-1.7911026297348505,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,validation,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,19.12372064590454
122616,13562,0.11060546747569648,0.5451719983738332,29566,0.24112676975272396,0.26347831969153757,0.5743990561864032,0.36125023186792804,0.3165151742185692,0.7854748927678601,0.5696821515892421,0.41803947153808513,0.3514108628282499,0.1675938103203304,0.4928450282709206,0.24930258606420497,0.42242187748445303,1.04743066187891,-1.8291765089662957,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,test,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,19.12372064590454
124974,13715,0.10974282650791364,0.16681182897574026,28744,0.22999983996671308,0.2666991372112441,0.5589500546846519,0.36110129772250876,0.29385265114579057,0.7805600403536972,0.488,0.390622499599936,0.33637381981116976,0.08720189338323481,0.29460476643293787,0.00417682021374272,0.3908658892482402,1.000316224961239,-7.121876717220202e-05,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,validation,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,19.12372064590454
122616,13562,0.11060546747569648,0.16681182897574026,29566,0.24112676975272396,0.26347831969153757,0.5743990561864032,0.36125023186792804,0.3165151742185692,0.7854748927678601,0.5696821515892421,0.41803947153808513,0.3514108628282499,0.08691187443484587,0.29331224867931915,0.005665958347102062,0.22102211410250738,1.0374166958596545,0.03033674971080402,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,test,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,19.12372064590454
124974,13715,0.10974282650791364,0.163727959697733,29099,0.2328404308096084,0.265507405752775,0.5633248268319359,0.36090998271593405,0.28966587077760564,0.7811659818222704,0.4864,0.39078252520403267,0.33837413986237797,0.0869780569203669,0.2922980286867912,2.0588282359570528e-08,1.0000000000287557e-06,1.0003177950004354,0.0005428170556922621,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,validation,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,19.12372064590454
122616,13562,0.11060546747569648,0.163727959697733,29942,0.24419325373523848,0.26227372920980563,0.5790443887332252,0.36102427363001105,0.30728717761960506,0.7853341024643388,0.5770171149144254,0.419833632360137,0.3500244658293916,0.08683629573007658,0.29228396474752727,0.004357958983990096,0.18231866586296974,1.0306732721143337,0.01927323337080007,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,test,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,19.12372064590454
