target_definition,fold_id,validation_year,test_year,split,calibration_method,bin_id,bin_lower,bin_upper,rows,mean_score,observed_rate,abs_gap
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,8,0.7000000000000001,0.8,5573,0.7433253398019827,0.4336981876906514,0.3096271521113313
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,9,0.8,0.9,2099,0.8399874278377375,0.6341114816579323,0.2058759461798052
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,10,0.9,1.0,184,0.9157198107323729,0.782608695652174,0.1331111150801989
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,1,0.0,0.1,7476,0.06090585214799654,0.015115034777956126,0.04579081737004041
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,2,0.1,0.2,12362,0.15182432985512148,0.042064390875262904,0.10975993897985858
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,3,0.2,0.30000000000000004,14001,0.25057382505174114,0.07563745446753803,0.1749363705842031
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,4,0.30000000000000004,0.4,14962,0.35043620336898673,0.10372944793476808,0.24670675543421866
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,5,0.4,0.5,14142,0.44971971963878005,0.1380285673879225,0.31169115225085753
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,6,0.5,0.6000000000000001,12412,0.5484823164026468,0.19489203996132776,0.353590276441319
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,7,0.6000000000000001,0.7000000000000001,9374,0.64662812800066,0.2617879240452315,0.38484020395542856
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,8,0.7000000000000001,0.8,5383,0.744152918177942,0.36559539290358534,0.3785575252743567
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,9,0.8,0.9,2126,0.8408416353934896,0.48071495766698025,0.3601266777265093
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,uncalibrated,10,0.9,1.0,220,0.9165773562522646,0.5590909090909091,0.35748644716135547
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,1,0.0,0.1,40527,0.05336052706447491,0.057986034002023346,0.004625506937548436
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,2,0.1,0.2,21764,0.1446339630301602,0.1434478956074251,0.0011860674227351098
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,3,0.2,0.30000000000000004,12762,0.24614387741891938,0.22950948127252782,0.01663439614639156
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,4,0.30000000000000004,0.4,7988,0.34601321791102924,0.328242363545318,0.01777085436571124
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,5,0.4,0.5,4383,0.4447696717572538,0.4455852156057495,0.0008155438484956923
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,6,0.5,0.6000000000000001,1954,0.5430419957361367,0.6095189355168884,0.06647693978075175
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,7,0.6000000000000001,0.7000000000000001,408,0.6246407893916283,0.7769607843137255,0.15231999492209725
